analysis_id,jl23hxr62y4s652
parameter_name,White blood cell count
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.130908
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,IMPC_HEM_001_001
