gene_symbol,Mgst2
analysis_id,usg0trh8go3jb77
parameter_id,IMPC_GEP_084_001
parameter_name,Limb morphology
gene_accession_id,MGI:2448481
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3908454
