analysis_id,4r70206lj7256c1
gene_accession_id,MGI:1276578
parameter_id,IMPC_CBC_018_001
pvalue,0.290344
parameter_name,Glucose
gene_symbol,Gfi1b
mouse_strain,C57BL
mouse_life_stage,Early adult
