parameter_name,Periphery distance travelled
analysis_id,m78315906g22664
gene_symbol,Gfi1b
parameter_id,ESLIM_007_001_006
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
pvalue,0.7919384
