analysis_id,m2e5f8kyi0i4b22
gene_symbol,Kif24
parameter_name,Shape of vertebrae
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
parameter_id,IMPC_XRY_018_001
pvalue,0.9367647
