analysis_id,ggzlvq1349n950v
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
gene_symbol,Cpa3
mouse_life_stage,Early adult
pvalue,0.996177
gene_accession_id,MGI:88479
parameter_id,MGP_MLN_074_001
