parameter_name,Pale yolk sac
gene_accession_id,MGI:1914071
analysis_id,i8tp31x6b397is9
mouse_life_stage,Early adult
pvalue,0.7219159
parameter_id,IMPC_GEL_017_002
mouse_strain,C57BL
gene_symbol,Bcs1l
