analysis_id,905d395m53d2583
gene_symbol,Mms22l
parameter_name,Iron
parameter_id,IMPC_CBC_011_001
mouse_life_stage,Early adult
pvalue,0.7031904
mouse_strain,C57BL
gene_accession_id,MGI:2684980
