parameter_name,Lens
mouse_strain,C57BL
parameter_id,IMPC_EYE_016_001
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
analysis_id,q7ogbqci9oen619
pvalue,0.4729576
mouse_life_stage,E9.5
