analysis_id,e3ggwqbx282d05w
mouse_strain,C57BL
gene_symbol,Hpca
parameter_name,Femur
pvalue,0.7332145
gene_accession_id,MGI:1336200
parameter_id,IMPC_XRY_024_001
mouse_life_stage,Middle aged adult
