parameter_name,Total food intake
parameter_id,IMPC_CAL_008_001
pvalue,0.6749463
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
gene_symbol,Mgst2
analysis_id,64e2y11lhi116ti
mouse_strain,C57BL
