gene_symbol,Kdm4c
analysis_id,vpa31c63e4n4776
mouse_life_stage,Early adult
pvalue,0.6171495
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
parameter_name,Humerus
gene_accession_id,MGI:1924054
