gene_symbol,Pex19
mouse_strain,C57BL
gene_accession_id,MGI:1334458
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
analysis_id,rn57z05q8t8z33i
pvalue,0.6349468
parameter_id,MGP_IMM_026_001
