gene_symbol,Kifap3
parameter_name,HDL-cholesterol
parameter_id,HMGULA_CBC_016_001
analysis_id,i1p4qoh314dwtph
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9494336
gene_accession_id,MGI:107566
