analysis_id,cxzk4ok2w16z0u9
gene_symbol,Psmd14
parameter_name,Periphery resting time
pvalue,0.9449079
mouse_strain,C57BL
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
