parameter_name,Hematocrit
pvalue,0.4253273
parameter_id,IMPC_HEM_004_001
gene_accession_id,MGI:1916846
mouse_strain,C57BL
gene_symbol,Ap5s1
analysis_id,8f05j1o1dnyg6bf
mouse_life_stage,Early adult
