gene_symbol,Gpbp1l1
pvalue,0.1858105
mouse_life_stage,Early adult
parameter_id,MGP_CSD_025_001
analysis_id,u98p7w4qmn422p9
gene_accession_id,MGI:1924360
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
