analysis_id,dps35g9m6l152vr
parameter_id,JAX_OFD_021_001
gene_accession_id,MGI:1929866
mouse_strain,C57BL
pvalue,0.07269725
parameter_name,Number of rears - total
mouse_life_stage,Early adult
gene_symbol,Rgs20
