analysis_id,935c3voem91047v
gene_symbol,Npbwr1
parameter_id,IMPC_EYE_092_001
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_name,Retina (combined)
pvalue,0.1476218
mouse_strain,C57BL
