parameter_id,IMPC_GEO_009_002
gene_symbol,Alkbh3
analysis_id,ium1vwkw7kmr2rz
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
parameter_name,Hemorrhage
mouse_strain,C57BL
pvalue,0.874998
