gene_symbol,Bmp7
mouse_life_stage,Early adult
analysis_id,jcnw621vve1534v
pvalue,0.1472345
parameter_id,IMPC_IMM_063_001
parameter_name,B Cells
mouse_strain,C57BL
gene_accession_id,MGI:103302
