analysis_id,7f8x295knr816wy
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
pvalue,0.9789473
parameter_name,Triglycerides
gene_accession_id,MGI:104805
gene_symbol,Snrpb2
mouse_life_stage,Early adult
