gene_symbol,Cds2
parameter_name,Mean right eye lens density
pvalue,0.3444591
gene_accession_id,MGI:1332236
parameter_id,IMPC_EYE_059_001
mouse_life_stage,Early adult
mouse_strain,129SV
analysis_id,pyl22hmwe401j0t
