analysis_id,58zz3v308io1dr5
parameter_id,IMPC_FEA_107_001
gene_accession_id,MGI:2446274
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_strain,C57BL
pvalue,0.781256
mouse_life_stage,Middle aged adult
gene_symbol,Frmpd1
