analysis_id,129af81ou334b72
gene_accession_id,MGI:1336200
parameter_id,M-G-P_016_001_001
mouse_life_stage,Late adult
pvalue,0.358399
parameter_name,White blood cell-count
mouse_strain,C57BL
gene_symbol,Hpca
