gene_symbol,Ola1
mouse_strain,C57BL
parameter_name,Eye
gene_accession_id,MGI:1914309
pvalue,0.1884576
mouse_life_stage,E18.5
analysis_id,sq7z042ul1jytu1
parameter_id,M-G-P_013_001_001
