analysis_id,az720ucmbdse735
pvalue,0.5147443
gene_accession_id,MGI:2140475
parameter_name,Skull shape
parameter_id,IMPC_XRY_001_001
mouse_life_stage,Late adult
gene_symbol,AU040320
mouse_strain,C57BL
