parameter_id,IMPC_GEL_029_001
gene_symbol,Tiprl
mouse_life_stage,Early adult
pvalue,0.4271781
parameter_name,Midbrain
mouse_strain,C57BL
analysis_id,f9mec29393n4a5a
gene_accession_id,MGI:1915087
