analysis_id,w2g1nb5jj48f2pj
pvalue,0.8481544
gene_accession_id,MGI:109356
parameter_id,MGP_MLN_072_001
mouse_life_stage,Late adult
gene_symbol,Snap23
mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
