parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
gene_accession_id,MGI:2685277
analysis_id,zjvf17ap9l4a008
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.2436762
gene_symbol,Zyg11b
