parameter_name,Liver weight
parameter_id,UCD_OWT_008_001
mouse_life_stage,Early adult
gene_symbol,Traf6
mouse_strain,C57BL
analysis_id,s0s8g7n91h5l6zk
pvalue,0.6758188
gene_accession_id,MGI:108072
