analysis_id,yw24lq3cu7r5tw7
gene_accession_id,MGI:107414
mouse_strain,C57BL
pvalue,0.6381049
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
