parameter_name,Ulna
pvalue,0.1068675
gene_symbol,Pld1
analysis_id,xwao99q3l81hx73
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
mouse_strain,C58BL
