gene_symbol,Eprs1
parameter_id,IMPC_ECH_003_001
parameter_name,Stroke Volume
analysis_id,77h30r00b72w36f
mouse_strain,C57BL
pvalue,0.08526547
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
