analysis_id,7k6srbyfcaxlz47
gene_symbol,Nemp2
gene_accession_id,MGI:2444113
pvalue,0.4721373
parameter_id,MGP_IMM_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
