parameter_name,B cell number
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
pvalue,0.8337453
analysis_id,1cr80xi3j993k73
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
gene_symbol,Zcchc2
