parameter_name,Snout morphology
analysis_id,52699yte3p41418
pvalue,0.8962735
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
parameter_id,MGP_CSD_066_001
