gene_symbol,Traf6
analysis_id,c79uzent14oe6w1
mouse_strain,C57BL
gene_accession_id,MGI:108072
pvalue,0.09246885
mouse_life_stage,Early adult
parameter_name,T cells - % of CD45+
parameter_id,MGP_BMI_019_001
