analysis_id,88pgs8g69756xbr
parameter_name,CD8+ alpha beta T cell percentage
parameter_id,MGP_PBI_004_001
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.727901
gene_symbol,Golm2
