analysis_id,sns0f57qn6p866o
parameter_name,Haemoglobin
gene_symbol,Tiprl
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8050797
gene_accession_id,MGI:1915087
parameter_id,ESLIM_016_001_003
