parameter_name,Lens Opacity
analysis_id,135t89u1924m646
gene_accession_id,MGI:2446186
pvalue,0.9393232
mouse_strain,C57BL
gene_symbol,Lpgat1
mouse_life_stage,E18.5
parameter_id,UCDLA_EYE_017_001
