gene_symbol,Car13
analysis_id,h5l71z543947m24
mouse_strain,C57BL
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
parameter_id,IMPC_GRS_009_001
pvalue,0.5463353
parameter_name,Forelimb and hindlimb grip strength measurement mean
