parameter_name,Joints
mouse_strain,C57BL
gene_accession_id,MGI:1346088
analysis_id,00p0552vkv4f18t
gene_symbol,Cd52
pvalue,0.1790059
parameter_id,IMPC_XRY_027_001
mouse_life_stage,Early adult
