analysis_id,uc008036k547994
pvalue,0.8191406
gene_accession_id,MGI:87968
parameter_id,IMPC_HEM_038_001
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Basophil differential count
gene_symbol,Ahcy
