parameter_name,Shape of ribcage
parameter_id,IMPC_XRY_059_001
gene_symbol,Arpc2
pvalue,0.3575147
analysis_id,th7025x8t7n1593
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
