parameter_name,HR
analysis_id,k00422ea575dwq0
gene_accession_id,MGI:1915524
pvalue,0.1893679
mouse_strain,C57BL
parameter_id,JAXLA_ECG_002_001
gene_symbol,Toporsl
mouse_life_stage,Early adult
