gene_symbol,Ppm1j
mouse_life_stage,Early adult
pvalue,0.156608
analysis_id,5xbz99509g2gns0
parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
gene_accession_id,MGI:1919137
mouse_strain,C57BL
