gene_symbol,Ssr2
gene_accession_id,MGI:1913506
pvalue,0.1855058
parameter_name,Total cholesterol
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,13txa872z43z7c6
