gene_symbol,Atg4c
gene_accession_id,MGI:2651854
parameter_name,% Pre-pulse inhibition - Global
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_037_001
mouse_strain,C57BL
analysis_id,n5kr56275187zx9
pvalue,0.1729488
