analysis_id,k0z5gj1f7rjbz67
gene_accession_id,MGI:1923959
parameter_id,IMPC_GPP_004_001
gene_symbol,Arpc2
mouse_strain,C57BL
pvalue,0.05455415
parameter_name,Placenta Size
mouse_life_stage,Early adult
