gene_symbol,Dnaaf9
pvalue,0.7691661
analysis_id,7i3eesayt13e0e5
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1923029
parameter_id,MGP_CSD_064_001
parameter_name,Head morphology
