gene_symbol,Usp37
pvalue,0.2023405
mouse_life_stage,Early adult
analysis_id,24yl0ey32m490mi
gene_accession_id,MGI:2442483
parameter_name,Resting Treg cells - % of Treg
parameter_id,MGP_IMM_011_001
mouse_strain,C57BL
