gene_symbol,Tubb4b
parameter_name,Center average speed
pvalue,0.9967593
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,m0y7r02e8re0bs8
parameter_id,JAXLA_OFD_017_001
gene_accession_id,MGI:1915472
