analysis_id,pqc66jg6dspus61
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
pvalue,0.9122932
mouse_strain,C57BL
gene_symbol,Toporsl
parameter_id,M-G-P_007_001_008
parameter_name,Periphery - Permanence Time
