analysis_id,3j21kptwnctcf04
gene_accession_id,MGI:1346088
parameter_name,Ventral coat/hair presence
parameter_id,MGP_CSD_025_001
gene_symbol,Cd52
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6609023
