analysis_id,794gw149whye6c7
gene_symbol,Arpc5l
parameter_id,IMPC_EYE_001_001
pvalue,0.284178
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Eye
gene_accession_id,MGI:1921442
