analysis_id,tv4v400qb29o7s4
mouse_life_stage,Early adult
gene_symbol,Cd52
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.1604191
mouse_strain,C57BL
parameter_id,MGP_MLN_074_001
gene_accession_id,MGI:1346088
