parameter_name,Whole arena average speed
analysis_id,7i2u543nvl3769d
mouse_strain,C57BL
parameter_id,IMPC_OFD_009_001
gene_symbol,Exd1
pvalue,0.6734053
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
