analysis_id,p0j8c99r6h86bk7
gene_accession_id,MGI:1336200
parameter_id,MGP_IMM_101_001
pvalue,0.7584315
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Hpca
