gene_symbol,Ola1
parameter_id,MGP_PBI_001_001
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
pvalue,0.3186915
mouse_strain,C57BL
parameter_name,Total T cell percentage
analysis_id,319p9m03i44px91
