analysis_id,c92khbvf0848arz
gene_symbol,RAP2B
parameter_id,IMPC_ACS_033_001
parameter_name,% Pre-pulse inhibition - PPI1
pvalue,0.1179861
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
mouse_strain,C57BL
