analysis_id,540p0940a0g599v
pvalue,0.8669705
parameter_id,IMPC_GEL_028_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
mouse_strain,C57BL
parameter_name,Forebrain
