parameter_name,Radius
mouse_life_stage,E18.5
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
gene_accession_id,MGI:1914561
gene_symbol,Nanp
pvalue,0.6505406
analysis_id,45678d8x88u42tx
