analysis_id,3jf2gs806yt5n7x
mouse_strain,C57BL
parameter_id,MGP_MLN_010_001
gene_accession_id,MGI:1918025
parameter_name,Resting Treg cells - % of Treg
gene_symbol,Zmynd8
pvalue,0.3119797
mouse_life_stage,Early adult
